,users,tweets
3716,realDonaldTrump,A total loser! https://t.co/vm3Vv2f9jf
7461,TomiLahren,"Love him or hate him, he’s still their obsession. They can’t do anything without talking about him. Must suck to be that deranged and pathetic. #MAGA"
8070,TomiLahren,"Hey guess what, you can still pout in your own time! Suck it up! https://t.co/gCPyI9dJGv https://t.co/pTeGEMbonv"
8281,TomiLahren,@TomiLahren Uhhhh @chrissyteigen / @johnlegend
8566,TomiLahren,Millions of taxpayer dollars and still NO EVIDENCE! Money suck. Time suck. Attention suck. https://t.co/Zvb3a7Gtac
9457,TomiLahren,Well ain’t that some shit. https://t.co/QCXWdi4qky
10540,AnnCoulter,"""fuck off I'm talking"" https://t.co/GDqCTOBpvQ"
12076,AnnCoulter,"The Pats were like ""ok, enough of this shit."""
12217,AnnCoulter,"""ignorant bastard, THROW THE FUCKING STICK"" https://t.co/aP2Mwuq5rV"
12752,MADENAMERUCA,"@mel_faith1 If that were my kid, my foot would go up her ass"
12776,MADENAMERUCA,"@ChatByCC @realDonaldTrump @steph93065 @Rockprincess818 @Lrihendry @ChristieC733 They already got me, starting over AGAIN, this is so bewildering Im tired of this shit"
12927,LastStand2019,Mines not for sale....but you can kiss my ass at no charge https://t.co/oriSiWF0mN via @BreitbartNews
13270,LastStand2019,@LastStand2019 @BreitbartNews She needs to shut her pie hole
13397,LastStand2019,"Kamala Harris flip-flopping like Mitt Romney in a frying pan, but she's also down around 8 points in the polls. So that might be the least of her problems.
 https://t.co/p5JiZ5alUs"
13717,LastStand2019,Bill Kristol is a sociopath. Closet commie. 100% scumbag. Loser. Jealous &amp; bitter at how badly he got @realDonaldTrump wrong. Only surpassed as loser &amp; jealous bitter as--hole by Mitt Romney.  https://t.co/arezmWMbXy via @gatewaypundit
13766,LastStand2019,"@LastStand2019 Go sniff a hairy smelly BUTT , Buttigieg..<U+0001F923><U+0001F923><U+0001F923> Buttigieg..you can make this stuff up. And he's PROUD of it....shame on you  Buttigieg"
14164,LastStand2019,"@LastStand2019 @realDonaldTrump I say hell no, until they come up with their taxes I say screw them all."
14167,LastStand2019,@LastStand2019 @realDonaldTrump That’s typical of liberal hypocrites
14760,LastStand2019,@LastStand2019 @BreitbartNews BLT and I would eat it and watch him burn
14883,LastStand2019,Mines not for sale....but you can kiss my ass at no charge https://t.co/oriSiWF0mN via @BreitbartNews
15727,LastStand2019,@LastStand2019 A BIG FAT... https://t.co/X3664K1adP
15772,LastStand2019,@LastStand2019 She is a complete imbecile
15864,LastStand2019,"@LastStand2019 Man, I hate that bitch."
16162,Mecdty,@MarkDice I’d rather get kicked in the Nuts than eat dinner with those assholes!
16286,Mecdty,@HillaryClinton Coming from the mouth of the most Disgusting Corrupt Bitch on Earth!
16423,Mecdty,@Jamierodr14 @realDonaldTrump @DevinNunes <U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB>
16429,Mecdty,"@Jenn198523 @Emaxx2044 They are the peaceful people! Bullshit, Fukking Animals!"
16486,Mecdty,"https://t.co/K7AmxPcBJ4

NOW he wants to keep his BIG MOUTH shut <U+0001F644>"
16514,Mecdty,"@DeepStateExpose People need to fight back, if your going to get your ass kicked then take one of them with you! Grabem by the balls and don’t let go!"
16556,Mecdty,@BarackObama Liar! You don’t give a Rats Ass! You only care about Muslims ! How many of your friends are wearing bombs today?
16574,Mecdty,@NeensCa @GavinNewsom Fuk the school system! And Lgbqrzyfotm!
16672,Mecdty,@CarlosSimancas I’d have to kick my own Ass!
16673,Mecdty,@fedupcitizen16 She’s a Fukking Moron!
16709,Mecdty,"What a bitter, jealous loser Mitt Romney is. I speak for 63 million <U+2066>@realDonaldTrump<U+2069> voters when I say: We are sickened by you. You are a GOP coward &amp; traitor. We all know you’d rather see an open borders Democrat. #LOSER https://t.co/zJNKiyv2HF"
16720,Mecdty,@catturd2 Fuk Mitt! Never cared what that Ass had to say about anything!
16812,Mecdty,@Objectivity2018 @RoscoP1971 @1776Stonewall There should be charges against you for being a moron !
16910,Mecdty,@brianstelter It most really SUCK being you! I’d have to kick my own ass if I woke up every day you!
17231,Mecdty,@charliekirk11 @MAGA2ARIGHTS @RealCandaceO A bunch of ignorant punk ass kids that don’t even know which bathroom to use! Their mommies and daddies got to be proud!
17246,Mecdty,"@NetflixFilm Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick, Chick flick, chick flick,Chick flick"
17357,Mecdty,Such a beautiful religion of peace. Kill kill kill kill kill kill kill kill kill kill kill https://t.co/d8Q9Aa79RT
17400,Mecdty,@MAGA2ARIGHTS @gatewaypundit You can put lipstick on a pig but it’s still a pig
17412,Mecdty,@RealTrumpLady @gatewaypundit You can dress a Pig in all gold but it’s Still a Pig
17502,Mecdty,@The_Trump_Train <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F595><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
17524,Mecdty,@SuperEliteTexan Fuk them! Assimilate or get the fuk out!
17792,Mecdty,@collin_tuso @GKeile A bunch of Dumb Ass Kids!
17852,Mecdty,"@SenBlumenthal Liar! Your parents give you the perfect name, Dick!"
18002,Mecdty,@RealMattCouch Noooooooooo
18039,Mecdty,"@Amy_Siskind Take your Bra Off get some popcorn and kick back, The Truth is about to come out and you Liberals won’t be Happy! Oh and get me a Beer Bitch!"
18082,Mecdty,@thebradfordfile More like a Pig in a Pig Clothing
18146,Mecdty,@adriandt31 @quickslanding Damn the ugly stick beat the crap out of Chelsea.
18159,Mecdty,Lolol I called Omar a Racist Bitch and Tweeter put me in a time out lolol
18160,Mecdty,@IlhanMN Racist Bitch! You have No morals! Disgusting Racist!
18222,Mecdty,@BillKristol Your such an Asshole!
18232,Mecdty,@bud_cann @PhysEdDepot Fukking Idiots! They should be behind Bars!
18361,Mecdty,@chrissyteigen Fukking disgusting bitch!
18447,Mecdty,@AOC Ahhhh maybe because you are a Fukking idiot that thinks she speaks for all of us! Because you Don’t
18468,Mecdty,@jamesplake721 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
18507,Mecdty,@AOC @jacobsoboroff If you haven’t figured your job out yet it’s because it’s for adults! Not cry baby little Bitches ! But please keep tweeting it shows the world how Fukking stupid you and Democrats are!
18548,Mecdty,@THEKIDMERO @TuckerCarlson @chrislhayes Wow you sound like a real bad ass lolol sorry I mean you sound like a real ASS! Are your little boy feelings hurt lolololol
18596,Mecdty,@IlhanMN Idiot!
18602,Mecdty,@AOCpress Make me a Drink! Bitch!
18790,Mecdty,@ThatTrumpGuy I’d knock that Bitches Lights Out!
18912,Mecdty,@realDonaldTrump Shut down the Boarder
18922,Mecdty,"@thehill See ya! Who gives a Crap what these morons boycott! Their only purpose in life is to entertain us, like Sit, roll over, Hell I have a Dog for that !"
19138,Mecdty,@DuckTvvacy @JannaWilkinso69 I wouldn’t eat anything those pussy hat wearing idiots cooked
19150,Mecdty,Smollett is a Fukking Liar!
19178,Mecdty,@robreiner STFU you Liar!
19229,Mecdty,"Breaking ...

Hillary has just released a statement about the Mueller report. 

and I quote ..

“Cough cough gag fart cough cough, gag hack cough fart cough cough, burp fart gag cough gag hack, cough cough cough fart gag cough.”"
19262,Mecdty,"@ericswalwell Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar"
19273,Mecdty,"@ericswalwell Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar"
19401,Birdle_2963,@Ohio_Buckeye_US Put his ass in GITMO! That's in Cuba...
19809,Birdle_2963,"@WandaIsWhite That’s a lollipop #Pig  

#PainIsComing https://t.co/Th8Ojroa8V"
19860,Birdle_2963,"2020 Democrats..

Creepy sleepy Biden sucks,

Feel the Bern sucks,

Kamala sucks,

Beto sucks, 

Liewatha sucks,

Spartacus sucks, 

Buttigieg sucks,

Gillibrand sucks,  

All Dems suck.

WHO ELSE AGREES PRESIDENT TRUMP WINS 2020?"
19887,Birdle_2963,@JarrettBellini @realDonaldTrump Look an ass on shoulders!
20085,Birdle_2963,"They’re the bitches of #DemocraticParty !! 

#LockThemAllUp https://t.co/WZFUOcbA9U"
20099,Birdle_2963,@Jason_MF_Miller @angel_rathat @GaryParrishCBS @KyleTucker_ATH Kiss my ass! https://t.co/Ht8rELbnkj
20201,Birdle_2963,@KidKool4U Hey kid  F-off Blocked your sorry ass
20793,Birdle_2963,"@RepAdamSchiff Donkey Schiff, is stuck on stupid! https://t.co/vGCmBqZ0E1"
21077,Birdle_2963,You can’t make this shit up. One of the best days in American history was the day Trump defeated this crusty old bitch! https://t.co/RJcMent1x8
22171,Birdle_2963,That’s 1 evil bitch! https://t.co/qqvBRBo20Y
22180,Birdle_2963,@DonaldJTrumpJr He’s an inconsiderate asshole! <U+0001F621>
22276,Birdle_2963,Retweet if you would vote for Donald Trump over Mitt Romney any day!
22292,Birdle_2963,@Ken19512 Amen<U+0001F64F><U+0001F3FC> KK
22376,Birdle_2963,.@MittRomney <U+0001F6A8> F*ck you <U+0001F6A8> #Loser #MuellerThursday #MuellerReport https://t.co/7aN1wNGtGk
22604,TrumpsGAGirl,@thomesinc @SI_Swimsuit @KimberlyMrsR1 @CB618444 @Maggieb1B @DoingRight1 @BullPup2A @Cajun_Chick_25 @HarrellRyan1 @BenJackd1 @FuctupMike Are you fking kidding me! <U+0001F644><U+0001F926><U+200D><U+2640><U+FE0F><U+0001F92C>
23318,TrumpsGAGirl,@RodStryker @TrumpsGAGirl This scum bag POS communist garbage! Trump2020 all day long! 4 more years! Don’t like it! Get the fck out!
23555,TrumpsGAGirl,@Jason_MF_Miller @angel_rathat @GaryParrishCBS @KyleTucker_ATH Kiss my ass! https://t.co/Ht8rELbnkj
23833,TrumpsGAGirl,@PrisonPlanet Wonder if the monkey likes to smoke weed?<U+0001F914><U+0001F4A8> https://t.co/ai2RPZiBLd
23898,TrumpsGAGirl,Fuck that shit. That would be like letting Picasso do restoration work on the Sistine Chapel. https://t.co/EkLtxEeWmk
24455,TrumpsGAGirl,@MAGAzinefed @HamillHimself @Alyssa_Milano Who the hell is this pathetic guy? <U+0001F602><U+0001F644><U+0001F926><U+200D><U+2640><U+FE0F>
24461,TrumpsGAGirl,"@wrench4life @TrumpsGAGirl @RealJack @JamesDr08034807 Everything is unraveling for these fucking assholes. I wanna see 'em ALL frog walked into the courtroom, then to prison or to the gallows."
24507,TrumpsGAGirl,"@RepAdamSchiff Donkey Schiff, is stuck on stupid! https://t.co/vGCmBqZ0E1"
24755,TrumpsGAGirl,"Stupid is as stupid does <U+2066>@AOC<U+2069>
#KAG2020
#Trump2020
#MAGA2020
https://t.co/9TreyUQBPy"
25100,TrumpsGAGirl,@TrumpsGAGirl @kadajoza This is just sick shit.
25118,TrumpsGAGirl,You can’t make this shit up. One of the best days in American history was the day Trump defeated this crusty old bitch! https://t.co/RJcMent1x8
10540,AnnCoulter,"""fuck off I'm talking"" https://t.co/GDqCTOBpvQ"
12217,AnnCoulter,"""ignorant bastard, THROW THE FUCKING STICK"" https://t.co/aP2Mwuq5rV"
12752,MADENAMERUCA,"@mel_faith1 If that were my kid, my foot would go up her ass"
15864,LastStand2019,"@LastStand2019 Man, I hate that bitch."
16162,Mecdty,@MarkDice I’d rather get kicked in the Nuts than eat dinner with those assholes!
16423,Mecdty,@Jamierodr14 @realDonaldTrump @DevinNunes <U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB>
16672,Mecdty,@CarlosSimancas I’d have to kick my own Ass!
16720,Mecdty,@catturd2 Fuk Mitt! Never cared what that Ass had to say about anything!
16910,Mecdty,@brianstelter It most really SUCK being you! I’d have to kick my own ass if I woke up every day you!
17502,Mecdty,@The_Trump_Train <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F595><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
17524,Mecdty,@SuperEliteTexan Fuk them! Assimilate or get the fuk out!
17792,Mecdty,@collin_tuso @GKeile A bunch of Dumb Ass Kids!
18146,Mecdty,@adriandt31 @quickslanding Damn the ugly stick beat the crap out of Chelsea.
18160,Mecdty,@IlhanMN Racist Bitch! You have No morals! Disgusting Racist!
18200,Mecdty,@catturd2 @HelenDe99941618 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B> for Cory Booker=<U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB>
18222,Mecdty,@BillKristol Your such an Asshole!
18361,Mecdty,@chrissyteigen Fukking disgusting bitch!
18468,Mecdty,@jamesplake721 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
18602,Mecdty,@AOCpress Make me a Drink! Bitch!
18912,Mecdty,@realDonaldTrump Shut down the Boarder
20099,Birdle_2963,@Jason_MF_Miller @angel_rathat @GaryParrishCBS @KyleTucker_ATH Kiss my ass! https://t.co/Ht8rELbnkj
22292,Birdle_2963,@Ken19512 Amen<U+0001F64F><U+0001F3FC> KK
23555,TrumpsGAGirl,@Jason_MF_Miller @angel_rathat @GaryParrishCBS @KyleTucker_ATH Kiss my ass! https://t.co/Ht8rELbnkj
24461,TrumpsGAGirl,"@wrench4life @TrumpsGAGirl @RealJack @JamesDr08034807 Everything is unraveling for these fucking assholes. I wanna see 'em ALL frog walked into the courtroom, then to prison or to the gallows."
25100,TrumpsGAGirl,@TrumpsGAGirl @kadajoza This is just sick shit.
12217,AnnCoulter,"""ignorant bastard, THROW THE FUCKING STICK"" https://t.co/aP2Mwuq5rV"
15727,LastStand2019,@LastStand2019 A BIG FAT... https://t.co/X3664K1adP
15864,LastStand2019,"@LastStand2019 Man, I hate that bitch."
16423,Mecdty,@Jamierodr14 @realDonaldTrump @DevinNunes <U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB><U+270B><U+0001F3FB>
16672,Mecdty,@CarlosSimancas I’d have to kick my own Ass!
16673,Mecdty,@fedupcitizen16 She’s a Fukking Moron!
16910,Mecdty,@brianstelter It most really SUCK being you! I’d have to kick my own ass if I woke up every day you!
17502,Mecdty,@The_Trump_Train <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FD><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FF><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F595><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
17524,Mecdty,@SuperEliteTexan Fuk them! Assimilate or get the fuk out!
17792,Mecdty,@collin_tuso @GKeile A bunch of Dumb Ass Kids!
18146,Mecdty,@adriandt31 @quickslanding Damn the ugly stick beat the crap out of Chelsea.
18160,Mecdty,@IlhanMN Racist Bitch! You have No morals! Disgusting Racist!
18200,Mecdty,@catturd2 @HelenDe99941618 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B> for Cory Booker=<U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB><U+0001F595><U+0001F3FB>
18222,Mecdty,@BillKristol Your such an Asshole!
18361,Mecdty,@chrissyteigen Fukking disgusting bitch!
18468,Mecdty,@jamesplake721 <U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B><U+270B>
19262,Mecdty,"@ericswalwell Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar"
19273,Mecdty,"@ericswalwell Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar, Liar"
22292,Birdle_2963,@Ken19512 Amen<U+0001F64F><U+0001F3FC> KK
24461,TrumpsGAGirl,"@wrench4life @TrumpsGAGirl @RealJack @JamesDr08034807 Everything is unraveling for these fucking assholes. I wanna see 'em ALL frog walked into the courtroom, then to prison or to the gallows."
